english,spanish_tu,spanish_usted,spanish_ustedes,spanish_negative_tu,verb_infinitive,yo_form_stem,note
Go to the book of Philemon,Ve al libro de Filemón,Vaya al libro de Filemón,Vayan al libro de Filemón,No vayas,ir,v- (voy → irregular: vaya/vayan),tú affirmative irregular: ve (same as ver!)
Read verse 15,Lee el versículo 15,Lea el versículo 15,Lean el versículo 15,No leas,leer,le-,
Repent,Arrepiéntete,Arrepiéntase,Arrepiéntanse,No te arrepientas,arrepentirse,arrepient- (me arrepiento),
Believe,Cree,Crea,Crean,No creas,creer,cre-,
Come forward,Pasa al frente,Pase al frente,Pasen al frente,No pases al frente,pasar,pas-,'pasar al frente' is the church phrase; 'venir adelante' is a calque
Come,Ven,Venga,Vengan,No vengas,venir,veng- (vengo),tú affirmative irregular: ven
Don't be afraid,No tengas miedo,No tenga miedo,No tengan miedo,No tengas miedo,tener,teng- (tengo),your diagnostic: 'no tienen' is indicative; command needs the flipped stem 'no tengan'
Fear not (Isaiah 43:5),No temas,No tema,No teman,No temas,temer,tem-,NBLA wording
Reach out to someone,Acércate a alguien,Acérquese a alguien,Acérquense a alguien,No te acerques,acercarse,acerc- (me acerco),"your diagnostic: 'acercase' → 'acérquese'. c→qu before e, accent on the stressed syllable"
Seek the Lord on your own,Busca al Señor por tu cuenta,Busque al Señor por su cuenta,Busquen al Señor por su cuenta,No busques,buscar,busc- (busco),c→qu spelling change
Invite Jesus into your drama,Invita a Jesús a tu drama,Invite a Jesús a su drama,Inviten a Jesús a su drama,No invites,invitar,invit-,
Surrender,Ríndete,Ríndase,Ríndanse,No te rindas,rendirse,rind- (me rindo),
Let go,Suéltalo,Suéltelo,Suéltenlo,No lo sueltes,soltar,suelt- (suelto),
Open your heart,Abre tu corazón,Abra su corazón,Abran su corazón,No abras tu corazón,abrir,abr-,
Give Him your attention,Dale tu atención,Dele su atención,Denle su atención,No le des,dar,d- (doy → irregular: dé/den),
Bring your whole self to the altar,Trae todo tu ser al altar,Traiga todo su ser al altar,Traigan todo su ser al altar,No traigas,traer,traig- (traigo),
Trust God with justice,Confíale a Dios la justicia,Confíele a Dios la justicia,Confíenle a Dios la justicia,No le confíes,confiar,confí- (confío),accent on the í in every form
Leave it to God,Déjaselo a Dios,Déjeselo a Dios,Déjenselo a Dios,No se lo dejes,dejar,dej-,"double pronoun se + lo attaches on affirmative, separates on negative"
Wait,Espera,Espere,Esperen,No esperes,esperar,esper-,
Know God (personally),Conoce a Dios,Conozca a Dios,Conozcan a Dios,No conozcas,conocer,conozc- (conozco),your diagnostic: 'conosco' → 'conozco'; the zc shows up in every flipped form
Know this (fact),Sabe esto,Sepa esto,Sepan esto,No sepas,saber,sé → irregular: sep-,"'sabo' → 'sé'; the command stem is unpredictable (sep-), memorize it"
Stop expecting everyone to just know,Deja de esperar que todos 'ya sepan',Deje de esperar que todos 'ya sepan',Dejen de esperar que todos 'ya sepan',No dejes de,dejar,dej-,'dejar de + infinitive' = stop doing
Speak up,Habla,Hable,Hablen,No hables,hablar,habl-,FLAG: 'speak up' = 'di lo que piensas' / 'exprésate'; plain 'habla' loses the 'up'
Don't be shocked,No te sorprendas,No se sorprenda,No se sorprendan,No te sorprendas,sorprenderse,sorprend-,
Ask again,Pregunta otra vez,Pregunte otra vez,Pregunten otra vez,No preguntes,preguntar,pregunt-,
Kill it with clarity,Mátalo con claridad,Mátelo con claridad,Mátenlo con claridad,No lo mates,matar,mat-,
Save a seat,Guarda un lugar,Guarde un lugar,Guarden un lugar,No guardes,guardar,guard-,'guardar un lugar' / 'apartar un lugar' (Mexico); not 'salvar'
Send out invites,Manda invitaciones,Mande invitaciones,Manden invitaciones,No mandes,mandar,mand-,
Say hi,Saluda,Salude,Saluden,No saludes,saludar,salud-,
Stick around a little longer,Quédate un ratito más,Quédese un ratito más,Quédense un ratito más,No te quedes,quedarse,qued-,'ratito' is natural Texas-Mexican
Get over yourself,Supérate,Supérese,Supérense,No te superes,superarse,super-,FLAG idiom: 'supérate' reads as 'improve yourself'. Closer: 'deja el ego a un lado' / 'quítate del centro'
Get involved,Involúcrate,Involúcrese,Involúcrense,No te involucres,involucrarse,involucr-,
Do your part,Haz tu parte,Haga su parte,Hagan su parte,No hagas,hacer,hag- (hago),tú affirmative irregular: haz
Do it because Christ led the way,Hazlo porque Cristo fue primero,Hágalo porque Cristo fue primero,Háganlo porque Cristo fue primero,No lo hagas,hacer,hag- (hago),FLAG: 'led the way' has no set phrase; 'abrió el camino' or 'fue primero'
Don't take it from me,No me lo creas a mí,No me lo crea a mí,No me lo crean a mí,No me lo creas,creer,cre-,FLAG idiom: literal 'no lo tomes de mí' is meaningless; use 'no me lo creas a mí' or 'no lo digo yo'
Be aware,Está consciente,Esté consciente,Estén conscientes,No estés,estar,est- (estoy → irregular: esté),"'be aware, be awake, be alert' → 'estén conscientes, estén despiertos, estén alerta'"
Be here (present),Está aquí,Esté aquí,Estén aquí,No estés aquí,estar,est- (estoy → irregular: esté),"your wife's line: 'si vas a estar aquí conmigo, ESTÁ aquí'"
Test the algorithm,Pon a prueba el algoritmo,Ponga a prueba el algoritmo,Pongan a prueba el algoritmo,No pongas,poner,pong- (pongo),tú affirmative irregular: pon
Set your mind on things above (Col 3:2),Pon la mira en las cosas de arriba,Ponga la mira en las cosas de arriba,Pongan la mira en las cosas de arriba,No pongas la mira,poner,pong- (pongo),NBLA wording — verify
Hold it up high,Levántalo en alto,Levántelo en alto,Levántenlo en alto,No lo levantes,levantar,levant-,
Submit this to the Lord,Somételo al Señor,Sométalo al Señor,Sométanlo al Señor,No lo sometas,someter,somet-,
Confess and declare,Confiesa y declara,Confiese y declare,Confiesen y declaren,No confieses,confesar,confies- (confieso),
Pray without your phone,Ora sin tu teléfono,Ore sin su teléfono,Oren sin su teléfono,No ores con el teléfono,orar,or-,
Read the Bible on your own,Lee la Biblia por tu cuenta,Lea la Biblia por su cuenta,Lean la Biblia por su cuenta,No leas,leer,le-,
Delete your Facebook,Borra tu Facebook,Borre su Facebook,Borren su Facebook,No borres tu Facebook,borrar,borr-,
Continue growing,Sigue creciendo,Siga creciendo,Sigan creciendo,No sigas,seguir,sig- (sigo),the u of seguir drops in the yo form and in every command except tú
Forgive each other,Perdónalo,Perdónelo,Perdónense unos a otros,No lo perdones,perdonar,perdon-,
Put on love (Col 3:14),Vístete de amor,Vístase de amor,Vístanse de amor,No te vistas,vestirse,vist- (me visto),NBLA Col 3:12 'vístanse' — verify
Detest what is evil (Rom 12:9),Aborrece lo malo,Aborrezca lo malo,Aborrezcan lo malo,No aborrezcas,aborrecer,aborrezc- (aborrezco),"NBLA phrases it with a gerund: 'aborreciendo lo malo, aplicándose a lo bueno' — verify"
Cling to what is good (Rom 12:9),Apégate a lo bueno,Apéguese a lo bueno,Apéguense a lo bueno,No te apegues,apegarse,apeg- (me apego),g→gu spelling change
Do not conform to this world (Rom 12:2),No te adaptes a este mundo,No se adapte a este mundo,No se adapten a este mundo,No te adaptes,adaptarse,adapt-,NBLA — verify
Be transformed (Rom 12:2),Transfórmate,Transfórmese,Transfórmense,No te transformes,transformarse,transform-,
Go and rebuke him (Mt 18:15),Ve y repréndelo,Vaya y repréndalo,Vayan y repréndanlo,No lo reprendas,reprender,reprend-,NBLA 've y repréndelo a solas' — verify
Take one or two with you (Mt 18:16),Lleva contigo a uno o dos,Lleve consigo a uno o dos,Lleven consigo a uno o dos,No lleves,llevar,llev-,
Tell it to the church (Mt 18:17),Dilo a la iglesia,Dígalo a la iglesia,Díganlo a la iglesia,No lo digas,decir,dig- (digo),
Do this in remembrance of Me (Lk 22:19),Haz esto en memoria de Mí,Haga esto en memoria de Mí,Hagan esto en memoria de Mí,No hagas,hacer,hag- (hago),NBLA 'hagan esto en memoria de Mí'
Be thankful (Col 3:15),Sé agradecido,Sea agradecido,Sean agradecidos,No seas,ser,soy → irregular: se-,tú affirmative 'sé' carries an accent (vs. 'se')
Seek peace with everyone (Heb 12:14),Busca la paz con todos,Busque la paz con todos,Busquen la paz con todos,No busques,buscar,busc- (busco),
Love your wife (Eph 5:25),Ama a tu esposa,Ame a su esposa,Amen a sus esposas,No ames,amar,am-,"note: 'amen' the command = 'amén' the word, different accent"
Walk beside your husband,Camina al lado de tu esposo,Camine al lado de su esposo,Caminen,No camines,caminar,camin-,
Be his strength,Sé su fuerza,Sea su fuerza,Sean,No seas,ser,soy → irregular: se-,
Help him be a godly man,Ayúdalo a ser un hombre de Dios,Ayúdelo a ser un hombre de Dios,Ayúdenlo,No lo ayudes,ayudar,ayud-,
Choose to be agreeable,Escoge ser conciliador,Escoja ser conciliador,Escojan ser conciliadores,No escojas,escoger,escoj- (escojo),g→j spelling change. FLAG: 'agreeable' ≈ 'conciliador' / 'de buen trato'
Turn and face each other,Voltéate,Voltéese,Voltéense y mírense,No te voltees,voltearse,volte-,'voltear' is Mexican; 'girar' sounds Spain
Take this ring and place it on her finger,Toma este anillo y pónselo en el dedo,Tome este anillo y póngaselo,Tomen,No lo tomes,tomar / poner,tom- / pong-,'pónselo' = pon + se + lo
"Laugh, have fun, enjoy","Ríe, diviértete, disfruta","Ría, diviértase, disfrute","Rían, diviértanse, disfruten",No te rías,reír / divertirse / disfrutar,rí- / diviert- / disfrut-,
Compete to respect each other more,Compite por respetarla más,Compita,Compitan por respetarse más,No compitas,competir,compit- (compito),
"Pray together, seek God together",Ora y busca a Dios con ella,Ore y busque a Dios,"Oren juntos, busquen a Dios juntos",No dejes de orar,orar / buscar,or- / busc-,
Use these vows to remind you,Usa estos votos para recordar,Use estos votos,Usen estos votos para recordar,No los uses,usar,us-,
Bless this ceremony,Bendice esta ceremonia,Bendiga esta ceremonia,Bendigan,No bendigas,bendecir,bendig- (bendigo),addressed to God → tú form
Protect our hearts,Protege nuestros corazones,Proteja,Protejan,No protejas,proteger,protej- (protejo),addressed to God → tú form; g→j
Help us use them wisely,Ayúdanos a usarlos con sabiduría,Ayúdenos,Ayúdennos,No nos ayudes,ayudar,ayud-,ustedes + nos = double n: ayúdennos
"Give me a hunger, give me a thirst","Dame hambre, dame sed",Deme,Dennos,No me des,dar,d- (doy → irregular: dé/den),prayer to God
Renew us daily,Renuévanos cada día,Renuévenos,Renuévennos,No nos renueves,renovar,renuev- (renuevo),
Seal and secure their marriage,Sella y asegura su matrimonio,Selle y asegure,Sellen y aseguren,No selles,sellar / asegurar,sell- / asegur-,
"Go in peace, go in love, go in victory","Ve en paz, ve en amor, ve en victoria",Vaya en paz,"Vayan en paz, vayan en amor, vayan en victoria",No vayas,ir,v- (voy → irregular: vaya/vayan),your benediction
Take it easy / relax,Relájate,Relájese,Relájense,No te relajes,relajarse,relaj-,
Stop and criticize what makes us comfortable,Detente y critica,Deténgase y critique,Deténganse y critiquen,No te detengas,detenerse,deteng- (me detengo),tú affirmative irregular: detén(te)
Let it go / drop it,Déjalo ir,Déjelo ir,Déjenlo ir,No lo dejes ir,dejar,dej-,'dejarlo ir' is accepted Mexican usage; 'suéltalo' is the tighter word
Enter into community,Entra en comunidad,Entre en comunidad,Entren en comunidad,No entres,entrar,entr-,
Empathize / put yourself in their shoes,Ponte en sus zapatos,Póngase en sus zapatos,Pónganse en sus zapatos,No te pongas,ponerse,pong- (pongo),'ponerse en los zapatos de' is fully native Spanish
Value each other,Valóralo,Valórelo,Valórense unos a otros,No lo valores,valorar,valor-,
Understand each other,Entiéndelo,Entiéndalo,Entiéndanse unos a otros,No lo entiendas,entender,entiend- (entiendo),
Encourage one another (Heb 10:25),Anímalo,Anímelo,Anímense unos a otros,No lo animes,animar,anim-,
Serve,Sirve,Sirva,Sirvan,No sirvas,servir,sirv- (sirvo),
Give / Give to the needy,Da,Dé,Den,No des,dar,d- (doy → irregular: dé/den),
Welcome the outcast,Recibe al marginado,Reciba al marginado,Reciban al marginado,No lo rechaces,recibir,recib-,'dar la bienvenida' also works; 'welcome' as a verb is usually 'recibir' in church
Honor them,Hónralos,Hónrelos,Hónrenlos,No los honres,honrar,honr-,h is silent; accent lands on ó
Stand and honor these servants,Ponte de pie y hónralos,Póngase de pie y hónrelos,Pónganse de pie y honremos a estos siervos,No te pongas de pie,ponerse / honrar,pong- / honr-,'honremos' is the nosotros command (let's honor)
Let's read / let's pray / let's go (nosotros),Leamos / Oremos / Vamos,—,—,No leamos,leer / orar / ir,le- / or- / v-,nosotros commands = subjunctive nosotros; 'vamos' is the one exception (not 'vayamos')
